faiss_id,movie_id,t0,t1,scene_id,shot_id,variant,bbox_x1,bbox_y1,bbox_x2,bbox_y2,size,n_frames,stride_s
0,orig_288p,0.0,1.653,1,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
1,orig_288p,1.653,3.306,1,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
2,orig_288p,3.305,4.958,1,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
3,orig_288p,4.958,6.902,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
4,orig_288p,6.902,8.846,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
5,orig_288p,8.847,10.791,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
6,orig_288p,10.791,12.735,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
7,orig_288p,12.736,14.68,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
8,orig_288p,14.68,16.624,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
9,orig_288p,16.625,18.569,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
10,orig_288p,18.569,20.513,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
11,orig_288p,20.514,22.458,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
12,orig_288p,22.458,24.402,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
13,orig_288p,24.402,26.346,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
14,orig_288p,26.347,28.291,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
15,orig_288p,28.291,30.235,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
16,orig_288p,30.236,32.18,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
17,orig_288p,32.18,34.124,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
18,orig_288p,34.125,36.069,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
19,orig_288p,36.069,38.013,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
20,orig_288p,38.014,39.958,2,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
21,orig_288p,39.958,41.291,3,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
22,orig_288p,41.291,42.624,3,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
23,orig_288p,42.625,43.958,3,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
24,orig_288p,43.958,45.758,4,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
25,orig_288p,45.758,47.558,4,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
26,orig_288p,47.558,49.358,4,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
27,orig_288p,49.358,51.158,4,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
28,orig_288p,51.158,52.958,4,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
29,orig_288p,52.958,54.458,5,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
30,orig_288p,54.458,55.958,5,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
31,orig_288p,55.958,57.604,6,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
32,orig_288p,57.604,59.25,6,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
33,orig_288p,59.25,60.896,6,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
34,orig_288p,60.896,62.542,6,-1,centercrop,0.0,0.0,1.0,1.0,288,12,2.0
